Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.05     95.47     0.05  2182454     0.00     0.00  camlBuffer__add_substring_103
  0.05     95.52     0.05  1749774     0.00     0.00  camlFormat__pp_print_char_405
  0.05     95.57     0.05  1503610     0.00     0.00  camlPhysical_sequence__sequence_peek_166
  0.05     95.62     0.05  1354478     0.00     0.00  caml_curry7_6
  0.05     95.67     0.05  1352502     0.00     0.00  camlCs_util_coercion__fun_553
  0.05     95.72     0.05  1351759     0.00     0.00  camlArray__list_length_152
  0.05     95.77     0.05  1330816     0.00     0.00  camlCode_tuple__eval_predicate_desc_507
  0.05     95.82     0.05   610244     0.00     0.00  caml_empty_minor_heap
  0.05     95.87     0.05   276964     0.00     0.00  camlPhysical_export__next_datamodel_event_174
  0.05     95.92     0.05    65025     0.00     0.00  camlVariable_context_manager__build_parameter_insert_code_246
  0.05     95.97     0.05       25     0.00     0.00  camlCode_tuple__build_bind_tuple_field_code_415
  0.05     96.02     0.05        2     0.03     0.03  camlCamlinternalOO__fun_810
  0.05     96.07     0.05                             camlCode_fn__fun_5410
  0.05     96.12     0.05                             camlCode_functional_ops__fun_566
  0.05     96.17     0.05                             camlEvaluation_expr__has_two_deltas_sexprs_314
  0.05     96.22     0.05  5580136     0.00     0.00  camlPhysical_xml_value__is_empty_xml_value_89
  0.05     96.27     0.05  2682426     0.00     0.00  camlDm__method_children_1338
  0.04     96.31     0.05  6890371     0.00     0.00  camlNamespace_util__rqname_assoc_212
  0.04     96.36     0.05  6619566     0.00     0.00  camlPhysical_util__get_node_in_cursor_347
  0.04     96.40     0.05  4207724     0.00     0.00  camlPhysical_value_util__physical_value_of_item_cursor_142
  0.04     96.45     0.05  4161472     0.00     0.00  camlPhysical_util___node_cursor_356
  0.04     96.49     0.05  2745683     0.00     0.00  camlCursor_context__push_node_to_cursor_context_146
  0.04     96.54     0.05  2292124     0.00     0.00  camlDm_util__node_follows_208
  0.04     96.58     0.05  1394073     0.00     0.00  camlDm__method_descendant_or_self_1106
  0.04     96.63     0.05  1351610     0.00     0.00  camlCursor__cursor_exists_279
  0.04     96.67     0.05     9603     0.00     0.00  caml_int_of_string
  0.04     96.72     0.05      884     0.00     0.00  camlPhysical_item__string_value_146
  0.04     96.76     0.05                             camlCode_util__fun_682
  0.04     96.81     0.05                             camlPhysical_value_util__physical_value_of_item_138
  0.04     96.85     0.05                             camlPhysical_value_util__xml_value_of_physical_value_170
  0.04     96.89     0.04 24865562     0.00     0.00  camlList__exists_165
  0.04     96.93     0.04  8326719     0.00     0.00  camlCode_tuple__fun_610
  0.04     96.97     0.04  8326719     0.00     0.00  camlTuple_context_manager__build_tuple_retrieve_code_250
  0.04     97.01     0.04  6847695     0.00     0.00  camlCode_binding__conv_468
  0.04     97.05     0.04  6804329     0.00     0.00  camlVariable_context_manager__build_variable_store_code_250
  0.04     97.09     0.04  6521413     0.00     0.00  camlDm__method_getElementNode_1236
  0.04     97.13     0.04  3345160     0.00     0.00  caml_compare
  0.04     97.17     0.04  2724900     0.00     0.00  camlDm_atomic__fun_5357
  0.04     97.21     0.04  2231124     0.00     0.00  camlString__blit_83
  0.04     97.25     0.04  1414851     0.00     0.00  camlCursor__streamed_npeek_generate_154
  0.04     97.29     0.04  1366080     0.00     0.00  camlArray__tolist_149
  0.04     97.33     0.04  1351610     0.00     0.00  camlCode_item_tuple__build_default_quantifier_code_474
  0.04     97.37     0.04  1351610     0.00     0.00  camlCode_overloaded_fn__fun_330
  0.04     97.41     0.04  1111904     0.00     0.00  camlFormat__doprn_640
  0.04     97.45     0.04   644194     0.00     0.00  camlPrintf__scan_conv_143
  0.04     97.49     0.04   461179     0.00     0.00  camlFormat__kpr_629
  0.04     97.53     0.04   461179     0.00     0.00  camlFormat__kprintf_624
  0.04     97.57     0.04   461179     0.00     0.00  camlPrintf__scan_fmt_144
  0.04     97.61     0.04   170476     0.00     0.00  camlGalax_dm__method_parent_992
  0.04     97.65     0.04    87233     0.00     0.00  camlArray__blit_119
  0.04     97.69     0.04    42472     0.00     0.00  camlCs_util_coercion__fun_598
  0.04     97.73     0.04    42463     0.00     0.00  camlCode_tuple__add_type_assertion_403
  0.04     97.77     0.04    20794     0.00     0.00  camlCs_util_coercion__fun_557
  0.04     97.81     0.04        1     0.04     0.04  camlCode_tuple__build_tuple_select_code_518
  0.04     97.85     0.04                             camlChar__code_end
  0.04     97.89     0.04                             camlCs_util_coercion__coerce_many_item_cursor_to_item_cursor_526
  0.04     97.93     0.04                             camlCs_util_coercion__coerce_many_sax_to_item_list_522
  0.04     97.97     0.04                             camlCs_util_coercion__fun_581
  0.04     98.01     0.04                             camlCs_util_coercion__fun_590
  0.04     98.05     0.04                             camlCursor__cursor_of_option_192
  0.04     98.09     0.04                             caml_fl_reset
  0.04     98.13     0.04                             caml_ml_string_length
  0.04     98.17     0.04                             caml_realloc_ref_table
  0.03     98.21     0.04  2724898     0.00     0.00  camlPhysical_item_util___boolean_222
  0.03     98.24     0.04  8022798     0.00     0.00  camlDm__method_node_kind_1211
  0.03     98.28     0.04     1371     0.00     0.00  caml_curry5
  0.03     98.31     0.03  8152150     0.00     0.00  camlCs_util_coercion__coerce_unary_tuple_cursor_to_tuple_cursor_486
